Vivado Simulator 2017.2
Time resolution is 1 ps
Block Memory Generator module tb_gtx3g_bert_axi_v1_0.axi_ad9286_ctrl_v0_1_inst_1.gtx3g_bert_axi_v1_0_S00_AXI_inst.async_dual_port_bram_inst_1.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 28138141, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28144807, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28298125, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28304791, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28458109, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28464775, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28618093, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28624759, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28778077, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28784743, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28938061, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 28944727, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29098045, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29104711, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29258029, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29264695, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29418013, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29424679, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29577997, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29584663, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29737981, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29744647, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29897965, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 29904631, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30057949, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30064615, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30217933, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30224599, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30377917, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30384583, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30537901, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30544567, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30697885, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30704551, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30857869, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30864535, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31017853, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31024519, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31177837, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31184503, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31337821, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31344487, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31497805, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31504471, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31657789, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31664455, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31817773, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31824439, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31977757, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 31984423, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32137741, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32144407, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32297725, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32304391, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32457709, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32464375, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32617693, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32624359, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32777677, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32784343, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32937661, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 32944327, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33097645, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33104311, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33257629, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33264295, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33417613, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33424279, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33577597, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33584263, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33737581, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33744247, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33897565, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 33904231, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34057549, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34064215, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34217533, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34224199, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34377517, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34384183, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34537501, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34544167, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34697485, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34704151, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34857469, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 34864135, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35017453, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35024119, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35177437, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35184103, A write address: 0, B  read address: 0
